"MONTH","YEAR","ave_precip_mo","ave_mo_t","opium_t","mj_t","coca_t","fips"
5,2017,4.54545454545455,13.6352941176471,17,17,2,"AR"
5,2018,4.29,15.121875,16,16,1,"AR"
6,1973,0.486050724637681,12,0.5,0.5,0,"AR"
6,1974,0.695217391304348,NA,0,0,0,"AR"
6,1976,NA,12,0.5,0.5,0,"AR"
6,1977,0.475238095238095,20,1,1,1,"AR"
6,1978,0.288888888888889,10.4166666666667,2,2,0,"AR"
6,1979,1.02173913043478,10.6071428571429,7.5,7.5,0,"AR"
6,1980,0.15,8.62222222222222,9.5,9.5,0,"AR"
6,1981,0.414814814814815,9.08030303030303,11.5,11.5,0,"AR"
6,1982,0,NA,0,0,0,"AR"
6,1983,0.973684210526316,9.5125,1.5,1.5,0,"AR"
6,1984,1.00208333333333,6.84638888888889,6,5.5,0,"AR"
6,1985,0,NA,0,0,0,"AR"
6,1986,0,NA,0,0,0,"AR"
6,1987,0,13.8333333333333,1.5,1.5,0,"AR"
6,1988,0,9.585,4.5,4.5,0,"AR"
6,1989,0,13.5222222222222,4.5,4.5,0,"AR"
6,1990,0,12.3884615384615,6.5,6.5,0,"AR"
6,1991,0.272727272727273,9.10277777777778,5,5,0,"AR"
6,1992,0.266666666666667,11,3.5,3,0,"AR"
6,1993,0.0214285714285714,12.2125,4,4,0,"AR"
6,1994,0.315384615384615,13.18125,4,4,0,"AR"
6,1995,0,12.31875,4,4,0,"AR"
6,1996,0,10.1111111111111,9,8,1,"AR"
6,1997,0.8875,10.16,10,10,0,"AR"
6,1998,0.333333333333333,11.9307692307692,13,13,1,"AR"
6,1999,NA,10.1066666666667,14,14,0,"AR"
6,2000,0.5,12.1571428571429,6,6,1,"AR"
6,2001,1.62,12.37,14,14,0,"AR"
6,2002,1.275,9.28214285714286,12,12,0,"AR"
6,2003,0.15,13.8791666666667,12,12,0,"AR"
6,2004,0,12.4888888888889,9,9,0,"AR"
6,2005,0.148148148148148,12.6277777777778,9,9,0,"AR"
6,2006,0,NA,0,0,0,"AR"
6,2007,5.22,10.88125,16,16,0,"AR"
6,2008,0,10.496875,14,14,0,"AR"
6,2009,111.3,NA,0,0,0,"AR"
6,2010,0,12.19375,16,16,0,"AR"
6,2011,0,11.7285714285714,21,21,0,"AR"
6,2012,NA,12.3153846153846,13,13,1,"AR"
6,2013,0.375,14.0541666666667,12,12,1,"AR"
6,2014,0.76,12.2692307692308,13,13,0,"AR"
6,2015,0.6,13.2071428571429,14,14,1,"AR"
6,2016,6.6625,9.94666666666667,15,15,0,"AR"
6,2017,0.328571428571429,11.6966666666667,14,14,0,"AR"
6,2018,1.22,10.9964285714286,12,11,0,"AR"
7,1973,0.260416666666667,NA,0,0,0,"AR"
7,1974,0.235333333333333,NA,0,0,0,"AR"
7,1977,0.314,NA,0,0,0,"AR"
7,1978,0.481547619047619,7.5,0.5,0.5,0,"AR"
7,1979,1.34693094629156,9.8531746031746,7,7,0,"AR"
7,1980,0,9.65476190476191,8,8,0,"AR"
7,1981,0.458620689655172,10.0121527777778,10.5,10.5,0,"AR"
7,1982,0,NA,0,0,0,"AR"
7,1983,0.0470588235294118,9.90555555555556,4.5,4.5,0,"AR"
7,1984,0.822222222222222,8.66590909090909,7,7,0,"AR"
7,1985,0.315384615384615,NA,0,0,0,"AR"
7,1986,0,NA,0,0,0,"AR"
7,1987,0,8.275,0.5,0.5,0,"AR"
7,1988,0,9.0375,6.5,6.5,0.5,"AR"
7,1989,0,11.2366666666667,7,7,0,"AR"
7,1990,5.95625,10.99,4.5,4.5,0,"AR"
7,1991,0.0909090909090909,9.825,1.5,1.5,0,"AR"
7,1992,0.2,7.29,1,1,0,"AR"
7,1993,8.7,8.93571428571429,3,2.5,0,"AR"
7,1994,0.0909090909090909,9.46666666666667,4.5,4.5,0,"AR"
7,1995,0.65,10.05625,3.5,3,0,"AR"
7,1996,0,10.7416666666667,12,12,0,"AR"
7,1997,0,14.1125,12,12,3,"AR"
7,1998,0.426666666666667,13.1538461538462,13,13,0,"AR"
7,1999,NA,10.2045454545455,9,9,0,"AR"
7,2000,1,8.08333333333333,4,4,0,"AR"
7,2001,2.35,11.253125,15,15,0,"AR"
7,2002,1.65,11.4052631578947,18,18,0,"AR"
7,2003,0.582142857142857,11.6272727272727,11,11,0,"AR"
7,2004,0.752631578947368,9.95,7,7,0,"AR"
7,2005,0.358823529411765,10.59,8,8,0,"AR"
7,2006,0,NA,0,0,0,"AR"
7,2007,1.5,8.91666666666667,10,10,1,"AR"
7,2008,NA,13.51,15,15,3,"AR"
7,2009,1.65,NA,0,0,0,"AR"
7,2010,0,10.446875,15,13,0,"AR"
7,2011,0.95,11.1,11,11,0,"AR"
7,2012,0.15,11.1681818181818,11,11,0,"AR"
7,2013,0,11.0958333333333,11,11,0,"AR"
7,2014,0,12.9558823529412,17,17,1,"AR"
7,2015,0,12.3625,16,16,1,"AR"
7,2016,0.25,10.5735294117647,17,17,0,"AR"
7,2017,4.22,11.6,11,11,0,"AR"
7,2018,0.4,9.85,11,11,0,"AR"
8,1973,0.06875,13,0.5,0.5,0,"AR"
8,1974,0.06,17.5,0.5,0.5,0,"AR"
8,1977,0.51441647597254,10,0.5,0.5,0,"AR"
8,1978,0.0263157894736842,10.8333333333333,2,2,0,"AR"
8,1979,0.367717391304348,13.9961538461538,8.5,8.5,1,"AR"
8,1980,0.0788461538461538,13.1833333333333,7,7,0.5,"AR"
8,1981,0.0817307692307692,12.5972222222222,11,11,2,"AR"
8,1982,0,NA,0,0,0,"AR"
8,1983,1.755,13.5142857142857,3.5,3.5,0,"AR"
8,1984,1.57045454545455,8.46428571428571,9,8.5,0.5,"AR"
8,1985,0,NA,0,0,0,"AR"
8,1986,0,NA,0,0,0,"AR"
8,1987,0.05,10.5583333333333,5,5,0,"AR"
8,1988,0,13.2136363636364,5.5,5.5,0.5,"AR"
8,1989,0.14375,13.45,4,4,0,"AR"
8,1990,0,14.8727272727273,5.5,6,1.5,"AR"
8,1991,1.5,12,2.5,2.5,0.5,"AR"
8,1992,0.507142857142857,14.2833333333333,1.5,1.5,0.5,"AR"
8,1993,0.373684210526316,14.0642857142857,3.5,3.5,1,"AR"
8,1994,0.741666666666667,13.4375,2,2,0.5,"AR"
8,1995,0,12.4909090909091,5,5,1.5,"AR"
8,1996,5.46842105263158,14.225,6,6,1,"AR"
8,1997,2.57894736842105,13.6,9,9,3,"AR"
8,1998,1.1,14.2888888888889,9,9,0,"AR"
8,1999,NA,14.0214285714286,6,6,2,"AR"
8,2000,0.5,12.23,10,10,0,"AR"
8,2001,3.6,14.7545454545455,11,11,4,"AR"
8,2002,1.025,13.505,10,10,1,"AR"
8,2003,0,13.2153846153846,13,13,2,"AR"
8,2004,0.333333333333333,12.875,3,3,1,"AR"
8,2005,1.42,13.9625,8,8,0,"AR"
8,2006,NA,15.0384615384615,12,12,3,"AR"
8,2007,0.71,9.37692307692308,11,11,0,"AR"
8,2008,1,13.9607142857143,14,14,2,"AR"
8,2009,2,NA,0,0,0,"AR"
8,2010,2.96666666666667,13.0291666666667,12,11,3,"AR"
8,2011,0,12.3766666666667,15,14,1,"AR"
8,2012,5.28571428571429,13.31,10,10,0,"AR"
8,2013,0,15.1818181818182,10,10,3,"AR"
8,2014,1.675,17.595,9,10,5,"AR"
8,2015,3.7,14.8166666666667,15,15,2,"AR"
8,2016,NA,16.4352941176471,17,17,4,"AR"
8,2017,0.275,14.3928571428571,14,14,1,"AR"
8,2018,NA,12.0666666666667,12,12,1,"AR"
9,1973,0.61875,NA,0,0,0,"AR"
9,1974,0.374671052631579,NA,0,0,0,"AR"
9,1975,NA,8.5,0.5,0.5,0,"AR"
9,1976,2.75,NA,0,0,0,"AR"
9,1977,0.333333333333333,18.25,1,1,0.5,"AR"
9,1978,0.659090909090909,NA,0,0,0,"AR"
9,1979,0.598901098901099,11.2991071428571,7.5,7.5,0.5,"AR"
9,1980,0.438888888888889,14.3642857142857,5.5,5.5,2,"AR"
9,1981,0.187564102564103,13.6843434343434,9.5,9.5,2,"AR"
9,1983,1.07619047619048,12.7375,5.5,5.5,0.5,"AR"
9,1984,1.22423076923077,13.4767857142857,4.5,4.5,0.5,"AR"
9,1985,0,NA,0,0,0,"AR"
9,1986,0,NA,0,0,0,"AR"
9,1987,0,10.75,4.5,4.5,1,"AR"
9,1988,1.09285714285714,13.7083333333333,3,3,0.5,"AR"
9,1989,0.0214285714285714,15.7333333333333,4.5,4.5,1,"AR"
9,1990,1.56666666666667,14.5388888888889,4.5,4.5,1.5,"AR"
9,1991,0.507692307692308,20,0.5,0.5,0.5,"AR"
9,1992,1.96875,13.5,3.5,3.5,0.5,"AR"
9,1993,0.1,15.3083333333333,3,3,1,"AR"
9,1994,0,19.5833333333333,3,3,2.5,"AR"
9,1995,4.10526315789474,19.5333333333333,3,3,2.5,"AR"
9,1996,0.78125,12.3375,4,4,0,"AR"
9,1997,0,15.35,8,8,1,"AR"
9,1998,8.26666666666667,14.5555555555556,8,8,2,"AR"
9,1999,0,18.8041666666667,11,12,7,"AR"
9,2000,1,16.86,4,4,4,"AR"
9,2001,3.55333333333333,14.51,15,15,2,"AR"
9,2002,0,16.54,5,5,2,"AR"
9,2003,0,18.05,2,2,1,"AR"
9,2004,5.875,16.98125,8,8,4,"AR"
9,2005,2.71111111111111,13.2428571428571,7,7,2,"AR"
9,2006,0.25,17.4,10,11,5,"AR"
9,2007,0.8,15.2846153846154,12,13,3,"AR"
9,2008,4.35454545454545,15.3454545454545,11,11,3,"AR"
9,2009,0,17.275,2,2,0,"AR"
9,2010,3.67777777777778,16.4269230769231,12,12,7,"AR"
9,2011,0,21.64375,5,7,5,"AR"
9,2012,4.45,18.5791666666667,12,12,8,"AR"
9,2013,0.657142857142857,14.1454545454545,11,11,2,"AR"
9,2014,3.175,18.21875,16,16,9,"AR"
9,2015,4.68888888888889,15.4791666666667,12,12,2,"AR"
9,2016,0,17.2964285714286,14,14,8,"AR"
9,2017,7.62,16.0277777777778,9,9,3,"AR"
9,2018,0.3,18.7136363636364,10,11,4,"AR"
10,1973,3.70811359026369,NA,0,0,0,"AR"
10,1974,1.65474137931034,NA,0,0,0,"AR"
10,1975,NA,18,0.5,0.5,0.5,"AR"
10,1976,0.471113445378151,20.5,0.5,0.5,0.5,"AR"
10,1977,3.22541666666667,NA,0,0,0,"AR"
10,1978,0.702,20.9,2,2.5,1.5,"AR"
10,1979,0.5880174291939,18.025,6,6.5,4.5,"AR"
10,1980,1.3168956043956,19.1071428571429,4.5,5,3,"AR"
10,1981,0.597065217391304,15.46875,8.5,9,2.5,"AR"
10,1982,0,NA,0,0,0,"AR"
10,1983,5.80833333333333,17.7236111111111,7,7.5,4,"AR"
10,1984,16,19.8,1,1,0.5,"AR"
10,1985,0,NA,0,0,0,"AR"
10,1986,0,NA,0,0,0,"AR"
10,1987,4.31363636363636,20.2222222222222,4,5,4.5,"AR"
10,1988,0.0333333333333333,17.4041666666667,3,3.5,1.5,"AR"
10,1989,0.3375,20.0277777777778,4,4,2.5,"AR"
10,1990,1.82083333333333,20.2192307692308,5,6.5,4.5,"AR"
10,1991,0.694117647058824,19.4277777777778,3.5,4,2,"AR"
10,1992,0.573684210526316,20.79375,3.5,4,3,"AR"
10,1993,0,18.61,2,2.5,1,"AR"
10,1994,1.71764705882353,18.2227272727273,5,5.5,3,"AR"
10,1995,0.833333333333333,20.3555555555556,3.5,4.5,2,"AR"
10,1996,12.1055555555556,19.9,5,6,4,"AR"
